symbol,date_et,hour_et,open,high,low,close,range
AAPL,2025-05-19,9,207.14,207.48,204.26,206.6199,3.22
AAPL,2025-05-19,10,206.61,208.04,206.24,207.33,1.79999
AAPL,2025-05-19,11,207.32,208.58,207.28,208.4826,1.3
AAPL,2025-05-19,12,208.49,209.48,208.07,208.93,1.40999
AAPL,2025-05-19,13,208.93,209.2,207.78,208.03,1.42
AAPL,2025-05-19,14,208.05,208.8,207.96,208.1274,0.84
AAPL,2025-05-19,15,208.12,208.93,208.1,208.76,0.82999
AAPL,2025-05-20,9,207.67,208.3,206.47,207.845,1.83
AAPL,2025-05-20,10,207.83,208.47,207.22,207.6343,1.25
AAPL,2025-05-20,11,207.65,208.43,207.05,207.81,1.37999
AAPL,2025-05-20,12,207.81,208.0154,207.11,207.38,0.9054
AAPL,2025-05-20,13,207.37,207.405,205.47,205.59,1.935
AAPL,2025-05-20,14,205.58,206.41,205.03,206.27,1.38
AAPL,2025-05-20,15,206.27,206.94,205.93,206.87,1.01001
AAPL,2025-05-21,9,205.12,206.61,204.06,205.81,2.55
AAPL,2025-05-21,10,205.85,207.04,205.4762,206.58,1.5638
AAPL,2025-05-21,11,206.57,206.87,205.5201,205.64,1.3499
AAPL,2025-05-21,12,205.65,206.09,202.02,202.1,4.06999
AAPL,2025-05-21,13,202.09,203.345,201.76,202.3415,1.58501
AAPL,2025-05-21,14,202.32,202.61,200.72,201.0301,1.89
AAPL,2025-05-21,15,201.06,202.49,201.05,202.06,1.44
AAPL,2025-05-22,9,200.715,201.64,199.7,200.36,1.94
AAPL,2025-05-22,10,200.37,201.36,200.3536,200.95,1.00639
AAPL,2025-05-22,11,200.95,202.4099,200.86,201.95,1.5499
AAPL,2025-05-22,12,201.945,202.0699,201.16,201.89,0.9099
AAPL,2025-05-22,13,201.88,202.22,201.67,201.97,0.55
AAPL,2025-05-22,14,201.96,202.72,201.65,202.61,1.07001
AAPL,2025-05-22,15,202.62,202.65,201.0,201.37,1.64999
AAPL,2025-05-23,9,193.665,197.7,193.46,197.17,4.23999
AAPL,2025-05-23,10,197.15,197.37,195.69,196.585,1.67999
AAPL,2025-05-23,11,196.59,197.12,195.715,196.0502,1.405
AAPL,2025-05-23,12,196.0508,196.6724,195.635,196.62,1.0374
AAPL,2025-05-23,13,196.6,196.6,195.09,195.75,1.51001
AAPL,2025-05-23,14,195.72,195.9,195.03,195.4624,0.87
AAPL,2025-05-23,15,195.46,195.97,195.03,195.34,0.94
AAPL,2025-05-27,9,198.3,199.17,197.43,198.35,1.74001
AAPL,2025-05-27,10,198.36,199.37,198.01,199.365,1.36
AAPL,2025-05-27,11,199.36,200.58,199.0,199.995,1.58
AAPL,2025-05-27,12,199.99,200.65,199.67,199.9599,0.98
AAPL,2025-05-27,13,199.955,200.74,199.81,200.37,0.93001
AAPL,2025-05-27,14,200.38,200.55,200.19,200.2944,0.36
AAPL,2025-05-27,15,200.3,200.47,199.93,200.2,0.54001
AAPL,2025-05-28,9,200.68,202.73,199.9,200.75,2.83
AAPL,2025-05-28,10,200.74,201.31,200.21,201.045,1.09999
AAPL,2025-05-28,11,201.05,201.29,200.862,201.1,0.42799
AAPL,2025-05-28,12,201.09,201.52,200.825,201.11,0.69501
AAPL,2025-05-28,13,201.12,201.25,200.73,200.85,0.52
AAPL,2025-05-28,14,200.84,201.5211,200.32,201.1286,1.2011
AAPL,2025-05-28,15,201.09,201.395,200.195,200.42,1.2
AAPL,2025-05-29,9,203.575,203.78,200.76,201.14,3.02
AAPL,2025-05-29,10,201.11,201.65,200.55,200.74,1.09999
AAPL,2025-05-29,11,200.74,200.8,198.51,199.42,2.29001
AAPL,2025-05-29,12,199.4,200.4496,199.4,199.975,1.04961
AAPL,2025-05-29,13,199.96,200.17,199.04,199.04,1.13
AAPL,2025-05-29,14,199.04,199.57,198.57,199.1393,1.0
AAPL,2025-05-29,15,199.125,200.248,199.08,199.95,1.168
AAPL,2025-05-30,9,199.405,199.57,197.97,199.24,1.60001
AAPL,2025-05-30,10,199.23,199.485,198.81,199.31,0.675
AAPL,2025-05-30,11,199.3,199.37,197.5504,197.715,1.8196
AAPL,2025-05-30,12,197.72,198.17,196.78,198.085,1.39
AAPL,2025-05-30,13,198.08,199.18,197.95,199.12,1.23
AAPL,2025-05-30,14,199.12,200.23,198.92,200.0506,1.31
AAPL,2025-05-30,15,200.07,201.95,199.7401,200.66,2.2099
AAPL,2025-06-02,9,200.15,202.13,200.12,200.53,2.01001
AAPL,2025-06-02,10,200.52,201.99,200.35,200.71,1.64
AAPL,2025-06-02,11,200.72,201.1187,200.3,201.03,0.8187
