symbol,window_days,hour_et,model,samples,l1,l2,l3,l4
AAPL,730,17,WIDE,0,,,,
AAPL,730,18,AGG,0,,,,
AAPL,730,18,CON,0,,,,
AAPL,730,18,WIDE,0,,,,
AAPL,730,19,AGG,0,,,,
AAPL,730,19,CON,0,,,,
AAPL,730,19,WIDE,0,,,,
AAPL,730,20,AGG,0,,,,
AAPL,730,20,CON,0,,,,
AAPL,730,20,WIDE,0,,,,
AAPL,730,21,AGG,0,,,,
AAPL,730,21,CON,0,,,,
AAPL,730,21,WIDE,0,,,,
AAPL,730,22,AGG,0,,,,
AAPL,730,22,CON,0,,,,
AAPL,730,22,WIDE,0,,,,
AAPL,730,23,AGG,0,,,,
AAPL,730,23,CON,0,,,,
AAPL,730,23,WIDE,0,,,,
MSFT,90,0,AGG,0,,,,
MSFT,90,0,CON,0,,,,
MSFT,90,0,WIDE,0,,,,
MSFT,90,1,AGG,0,,,,
MSFT,90,1,CON,0,,,,
MSFT,90,1,WIDE,0,,,,
MSFT,90,2,AGG,0,,,,
MSFT,90,2,CON,0,,,,
MSFT,90,2,WIDE,0,,,,
MSFT,90,3,AGG,0,,,,
MSFT,90,3,CON,0,,,,
MSFT,90,3,WIDE,0,,,,
MSFT,90,4,AGG,0,,,,
MSFT,90,4,CON,0,,,,
MSFT,90,4,WIDE,0,,,,
MSFT,90,5,AGG,0,,,,
MSFT,90,5,CON,0,,,,
MSFT,90,5,WIDE,0,,,,
MSFT,90,6,AGG,0,,,,
MSFT,90,6,CON,0,,,,
MSFT,90,6,WIDE,0,,,,
MSFT,90,7,AGG,0,,,,
MSFT,90,7,CON,0,,,,
MSFT,90,7,WIDE,0,,,,
MSFT,90,8,AGG,0,,,,
MSFT,90,8,CON,0,,,,
MSFT,90,8,WIDE,0,,,,
MSFT,90,9,AGG,63,5.81465,6.81911,7.82356,5.42794
MSFT,90,9,CON,63,8.22535,9.2298,10.23426,7.83863
MSFT,90,9,WIDE,63,9.83247,10.83693,11.84138,9.44576
MSFT,90,10,AGG,63,3.0354,3.55975,4.0841,2.83352
MSFT,90,10,CON,63,4.29384,4.81819,5.34254,4.09197
MSFT,90,10,WIDE,63,5.1328,5.65715,6.1815,4.93093
MSFT,90,11,AGG,63,2.39715,2.81125,3.22535,2.23773
MSFT,90,11,CON,63,3.39099,3.80508,4.21918,3.23156
MSFT,90,11,WIDE,63,4.05354,4.46764,4.88174,3.89411
MSFT,90,12,AGG,63,2.07507,2.43353,2.79199,1.93706
MSFT,90,12,CON,63,2.93537,3.29383,3.65229,2.79736
MSFT,90,12,WIDE,63,3.5089,3.86736,4.22582,3.3709
MSFT,90,13,AGG,63,1.93364,2.26766,2.60169,1.80504
MSFT,90,13,CON,63,2.7353,3.06933,3.40335,2.6067
MSFT,90,13,WIDE,63,3.26974,3.60377,3.9378,3.14114
